Parcelle,n_cep,symptomes,date,picture_name,position_cm,position_organ,position_organ_2,symptom,organ+symptomes,total_perimeter_cm,dysfunctional_perimeter_cm_1,dysfunctional_perimeter_cm_2,dysfunctional_perimeter_cm_3,dysfunctional_perimeter_cm_4,necrotic_perimeter_1,necrotic_perimeter_2,necrotic_perimeter_3,necrotic_perimeter_4,necrotic_perimeter_5,Total_dysfunctional_perimeter,Total_necrotic_perimeter,Share_dysfunctional_perimeter,Share_necrotic_perimeter,Principal,Second,Third,Fourth,comment
III-5,72-90,ES3,28/7/21,U20,39,GU,GU,S,trunk_S,"13,688","3,380",,,,"1,096",,,,,"3,38","1,096","268,424,396","80,070,134","268,424,396",0,0,0,
III-5,72-90,ES3,28/7/21,U21,41,rootstock,rootstock,S,trunk_S,"13,526","2,992",136,,,,,,,,"3,13",0,"231,258,317",0,"221,203,608","17,871,222",0,0,
III-5,72-90,ES3,28/7/21,U22,43,rootstock,rootstock,S,trunk_S,"10,688","1,175",107,145,,,,,,,"1,43",0,"133,514,222",0,"109,936,377","14,060,447","19,053,876",0,
III-5,72-90,ES3,28/7/21,U23,"44,5",rootstock,rootstock,S,trunk_S,"7,509",673,,,,165,,,,,"0,67",165,"91,639,434","21,973,632","91,639,434",0,0,0,
III-5,72-90,ES3,28/7/21,U24,"46,5",rootstock,rootstock,S,trunk_S,"8,24","1,141",,,,475,,,,,"1,14",475,"146,941,404","57,645,631","146,941,404",0,0,0,
III-5,72-90,ES3,28/7/21,U25,"48,5",rootstock,rootstock,S,trunk_S,"7,841",,,,,995,,,,,"0,00",995,0,"126,897,079",0,0,0,0,ZONE ROSE CLAIRE NON PRIS EN COMPTE
III-5,72-90,ES3,28/7/21,U26,50,rootstock,rootstock,S,trunk_S,"7,092",405,,,,681,,,,,"0,41",681,"63,172,672","96,023,689","63,172,672",0,0,0,
III-5,72-90,ES3,28/7/21,U27,52,rootstock,rootstock,S,trunk_S,"6,927",216,361,,,,,,,,"0,58",0,"83,297,243",0,"3,118,233","47,437,582",0,0,
III-5,72-90,ES3,28/7/21,U28,54,rootstock,rootstock,S,trunk_S,"7,288",,,,,526,,,,,"0,00",526,0,"72,173,436",0,0,0,0,necrose en arc peut etre une ancienne bande brune
III-5,72-90,ES3,28/7/21,U29,56,rootstock,rootstock,S,trunk_S,"6,453",,,,,433,,,,,"0,00",433,0,"67,100,573",0,0,0,0,
III-5,72-90,ES3,28/7/21,U30,"57,5",rootstock,rootstock,S,trunk_S,"6,734",,,,,568,,,,,"0,00",568,0,"84,348,084",0,0,0,0,
III-6,32-2,ES2,22/7/21,D02,2,arm,D_arm,S,,"14,008","2,271",448,152,,"4,132",,,,,"2,87","4,132","290,704,739","2,949,743","229,951,397","58,869,908","19,973,719",0,
III-6,32-2,ES2,22/7/21,D03,2,arm,D_arm,S,,"13,744","2,864",446,,,"4,999",,,,,"3,31","4,999","378,502,001","363,722,352","327,501,429","58,607,096",0,0,
III-6,32-2,ES2,22/7/21,D04,3,arm,D_arm,S,,"12,723","1,637",513,,,"4,596",,,,,"2,15","4,596","264,550,265","361,235,558","201,427,341","67,411,301",0,0,
III-6,32-2,ES2,22/7/21,D05,4,arm,D_arm,S,,"14,686","2,939",897,,,"4,52",,,,,"3,84","4,52","377,336,219","307,776,113","289,100,925","117,871,222",0,0,
III-6,32-2,ES2,22/7/21,D06,6,arm,D_arm,S,,"18,181","2,230","1,180",,,"6,601","3,172",,,,"3,41","9,773","405,566,127","537,539,189","265,223,597","155,059,133",0,0,
III-6,32-2,ES2,22/7/21,D07,8,arm,D_arm,S,,"17,66",536,"1,412",126,,"5,743",358,,,,"2,07","6,101","179,427,286","345,469,989","46,370,793","185,545,335","16,557,162",0,
III-6,32-2,ES2,22/7/21,D08,10,arm,D_arm,S,,"16,089","3,436","1,511",,,"5,681",,,,,"4,95","5,681","475,307,456","35,309,839","330,130,669","198,554,534",0,0,
III-6,32-2,ES2,22/7/21,D09,12,arm,D_arm,S,,"14,971","2,931",825,,,"4,014","1,847",,,,"3,76","5,861","412,294,182","391,490,214","321,734,358","108,409,987",0,0,
III-6,32-2,ES2,22/7/21,D10,16,arm,D_arm,S,,"16,042","4,068","1,042",,,"5,344",334,,,,"5,11","5,678","493,052,875","353,945,892","392,512,543","136,925,099",0,0,
III-6,32-2,ES2,22/7/21,U3,3,arm,U_arm,S,,"8,174",859,975,,,,,,,,"1,83",0,"224,369,954",0,"105,089,308","128,120,894",0,0,
III-6,32-2,ES2,22/7/21,U4,5,arm,U_arm,S,,"10,025","1,598","1,067",250,,"1,053",,,,,"2,92","1,053","324,899,688","105,037,406","178,109,675","14,021,025","32,851,511",0,Une partie de la coupe présente une bande rose plus fine en bordure <1mm. Cette zone n'a pas était comptailisé comme une zone disfonctionnel
III-6,32-2,ES2,22/7/21,U5,7,arm,U_arm,S,,"12,448","2,035",763,142,73,"1,118","1,74",286,,,"3,01","3,144","323,839,209","252,570,694","21,872,313","100,262,812","18,659,658","9,592,641",
III-6,32-2,ES2,22/7/21,U6,"9,5",arm,U_arm,S,,NA,NA,NA,NA,,NA,,,,,"0,00",0,NA,NA,NA,NA,NA,0,photo prise à l'envers? (ecriture en miroire)
III-6,32-2,ES2,22/7/21,U7,12,arm,U_arm,S,,"13,287","2,503",973,104,,"5,385",,,,,"3,58","5,385",NA,NA,NA,"127,858,081","13,666,229",0,photo prise à l'envers? (ecriture en miroire)
III-6,32-2,ES2,22/7/21,U8,14,arm,U_arm,S,,"14,041","1,757","1,176",,,"5,942",,,,,"2,93","5,942","399,319,265","447,204,034","239,210,347","154,533,509",0,0,
III-6,32-2,ES2,22/7/21,U9,"15,5",arm,U_arm,S,,"14,791","1,464","1,286",,,"6,878",,,,,"2,75","6,878","383,917,353","48,985,115","204,383,638","168,988,173",0,0,
III-6,32-2,ES2,22/7/21,U10,"17,5",arm,U_arm,S,,"14,118","1,431","1,631",,,"5,937",,,,,"3,06","5,937","345,832,392","401,392,739","161,621,866","214,323,259",0,0,
III-6,32-2,ES2,22/7/21,U11,"19,5",arm,U_arm,S,,"15,243","1,382","3,343",,,"4,732","1,212",,,,"4,73","5,944","508,119,153","389,949,485","148,618,131","439,290,407",0,0,
III-6,32-2,ES2,22/7/21,U12,"21,5",arm,U_arm,S,,NA,NA,NA,,,NA,,,,,"0,00",0,NA,NA,NA,NA,0,0,
III-6,32-2,ES2,22/7/21,U13,"23,5",arm,U_arm,S,,"17,92","1,743","1,791",,,"7,651",,,,,"3,53","7,651","344,142,565","426,953,125","169,734,151","235,348,226",0,0,
III-6,32-2,ES2,22/7/21,U14,"25,5",arm,U_arm,S,,NA,NA,NA,,,NA,,,,,"0,00",0,NA,NA,NA,NA,0,0,
III-6,32-2,ES2,22/7/21,U15,"27,5",arm,U_arm,S,,"21,301","2,816","1,889",,,"9,832",158,,,,"4,71","9,99","415,966,758","468,992,066","248,961,188","248,226,018",0,0,
III-6,32-2,ES2,22/7/21,U16,"29,5",arm,U_arm,S,,"21,65","2,086","2,181",,,"8,203",482,,,,"4,27","8,685","329,116,853","401,154,734","160,894,717","286,596,583",0,0,
III-6,32-2,ES2,22/7/21,U17,"31,5",transition,transition,transition,,NA,NA,NA,,,NA,,,,,"0,00",0,NA,NA,NA,NA,0,0,
III-6,32-2,ES2,22/7/21,U18,33,transition,transition,transition,,NA,NA,NA,,,NA,,,,,"0,00",0,NA,NA,NA,NA,0,0,coupe coupé jonction des bras a exclure
III-6,32-2,ES2,22/7/21,U19,35,trunk,trunk,S,,"21,265","2,962","2,106","2,978",,,,,,,"8,05",0,"378,368,211",0,"139,289,913","27,674,113","391,327,201",0,
III-6,32-2,ES2,22/7/21,U20,37,trunk,trunk,S,,"17,827","5,754","1,828",,,,,,,,"7,58",0,"425,309,923",0,"322,768,834","24,021,025",0,0,
III-6,32-2,ES2,22/7/21,U21,40,trunk,trunk,S,,"17,295","5,039","1,892",,,,,,,,"6,93",0,"400,751,662",0,"291,355,883","248,620,237",0,0,
III-6,32-2,ES2,22/7/21,U22,42,trunk,trunk,S,,"17,737","5,230","1,987",,,,,,,,"7,22",0,"406,889,553",0,"294,863,844","261,103,811",0,0,
III-6,32-2,ES2,22/7/21,U23,44,trunk,trunk,S,,"16,476","4,898","1,689",,,,,,,,"6,59",0,"399,793,639",0,"297,280,893","221,944,809",0,0,
III-6,32-2,ES2,22/7/21,U24,"46,5",trunk,trunk,S,,"16,873","5,437","1,663",,,,,,,,"7,10",0,"420,790,612",0,"322,230,783","218,528,252",0,0,
III-6,32-2,ES2,22/7/21,U25,49,trunk,trunk,S,,"18,213","4,114","1,758","1,507",,654,"0,19",,,,"7,38",844,"424,837,354","46,340,526","236,858,771","231,011,827","198,028,909",0,
III-6,32-2,ES2,22/7/21,U26,51,trunk,trunk,S,,"23,335","6,952","2,997",,,"1,561","1,516",287,,,"9,95","3,364","49,817,235","144,161,131","348,104,752","393,823,916",0,0,
III-6,32-2,ES2,22/7/21,U27,53,GU,GU,S,,"23,499","7,497","3,634",,,"1,801",899,415,,,"11,13","3,115","546,065,542","132,558,832","367,788,462","477,529,566",0,0,
III-6,32-2,ES2,22/7/21,U28,"54,5",GU,GU,S,,"24,196","6,147","3,087",,,,,,,,"9,23",0,"381,633,328",0,"254,050,256","40,565,046",0,0,
III-6,32-2,ES2,22/7/21,U29,"56,5",rootstock,rootstock,S,,"22,8","3,916","2,520",,,,,,,,"6,44",0,"282,280,702",0,"171,754,386","331,143,233",0,0,
III-6,32-2,ES2,22/7/21,U30,"57,5",rootstock,rootstock,S,,"18,456","4,193","3,429",,,"0,78",,,,,"7,62","0,78","431,206,155","42,262,679","237,214,302","450,591,327",0,0,
III-6,32-2,ES2,22/7/21,U31,"59,5",rootstock,rootstock,S,,"16,607","3,045","1,177",,,874,687,"0,31",283,85,"4,22","2,239","293,847,439","134,822,665","211,929,287","154,664,915",0,0,
III-6,32-2,ES2,22/7/21,U32,62,rootstock,rootstock,S,,"16,825","3,027","2,119",,,722,691,,,,"5,15","1,413","333,895,666","83,982,169","196,405,398","278,449,409",0,0,
III-6,32-2,ES2,22/7/21,U33,64,rootstock,rootstock,S,,"14,849","1,183","1,644",,,148,,,,,"2,83",148,"192,299,844","9,967,001","80,470,716","216,031,537",0,0,
III-6,32-2,ES2,22/7/21,U34,66,rootstock,rootstock,S,,"13,501",878,"1,047",,,,,,,,"1,93",0,"142,582,031",0,"6,503,222","137,582,129",0,0,
III-6,32-2,ES2,22/7/21,U35,68,rootstock,rootstock,S,,"13,341","1,412",833,,,,,,,,"2,25",0,"16,827,824",0,"105,839,142","109,461,235",0,0,
III-6,33-2,ES1,27/7/21,D1,NA,arm,D_arm,AS,NA,NA,,,,,,,,,,"0,00",0,NA,NA,NA,0,0,0,
III-6,33-2,ES1,27/7/21,D2,NA,arm,D_arm,AS,NA,NA,,,,,,,,,,"0,00",0,NA,NA,NA,0,0,0,
III-6,33-2,ES1,27/7/21,D3,0,arm,D_arm,AS,,??,,,,,,,,,,"0,00",0,NA,NA,NA,0,0,0,
III-6,33-2,ES1,27/7/21,D4,1,arm,D_arm,AS,,"15,376",145,,,,"5,116",,,,,"0,15","5,116","14,132,554","332,726,327","14,132,554",0,0,0,
III-6,33-2,ES1,27/7/21,D5,2,arm,D_arm,AS,,"15,08",248,,,,"3,079",,,,,"0,25","3,079","20,664,945","204,177,719","20,664,945",0,0,0,
III-6,33-2,ES1,27/7/21,D6,4,arm,D_arm,AS,,"16,349",,,,,"4,668",,,,,"0,00","4,668",0,"28,552,205",0,0,0,0,
III-6,33-2,ES1,27/7/21,D7,5,arm,D_arm,AS,,"15,29",,,,,"2,208",,,,,"0,00","2,208",0,"14,440,811",0,0,0,0,
III-6,33-2,ES1,27/7/21,D8,8,arm,D_arm,AS,,"15,181",,,,,"1,448",,,,,"0,00","1,448",0,"95,382,386",0,0,0,0,
III-6,33-2,ES1,27/7/21,D9,10,arm,D_arm,AS,,"18,084",,,,,285,251,,,,"0,00",536,0,"2,963,946",0,0,0,0,
III-6,33-2,ES1,27/7/21,D10,12,arm,D_arm,AS,,"21,108",,,,,"1,895","1,288","1,252",209,,"0,00","4,644",0,"22,001,137",0,0,0,0,
III-6,33-2,ES1,27/7/21,D11,14,arm,D_arm,AS,,"16,669",,,,,"1,797",557,,,,"0,00","2,354",0,"141,220,229",0,0,0,0,
III-6,33-2,ES1,27/7/21,D12,16,arm,D_arm,AS,,"12,925",,,,,"0,13",,,,,"0,00","0,13",0,"10,058,027",0,0,0,0,
III-6,33-2,ES1,27/7/21,D13,18,arm,D_arm,AS,,"12,207",,,,,,,,,,"0,00",0,0,0,0,0,0,0,
III-6,33-2,ES1,27/7/21,U1,NA,arm,U_arm,NA,NA,NA,,,,,,,,,,"0,00",0,NA,NA,NA,0,0,0,
III-6,33-2,ES1,27/7/21,U2,1,arm,U_arm,S,,"8,928","3,219",,,,577,71,,,,"3,22",648,"388,768,116","72,580,645","388,768,116",0,0,0,
III-6,33-2,ES1,27/7/21,U3,3,arm,U_arm,S,,"9,167","2,7",568,182,165,,,,,,"3,62",0,"394,349,296",0,"294,534,744","74,638,633","239,159","21,681,997",
III-6,33-2,ES1,27/7/21,U4,5,arm,U_arm,S,,"15,554","2,311",,,,"3,597","1,217",,,,"2,31","4,814","215,176,909","309,502,379","215,176,909",0,0,0,
III-6,33-2,ES1,27/7/21,U5,7,arm,U_arm,S,,"13,048","2,171",,,,"1,069",,,,,"2,17","1,069","181,233,826","81,928,265","181,233,826",0,0,0,
III-6,33-2,ES1,27/7/21,U6,9,arm,U_arm,S,,"16,27",,"1,941",,,"3,647",489,,,,"1,94","4,136","159,963,738","254,210,203",0,"255,059,133",0,0,
III-6,33-2,ES1,27/7/21,U7,11,arm,U_arm,S,,"15,619","1,977","2,237",,,"2,91",,,,,"4,21","2,91","331,576,048","186,311,544","155,559,053","293,955,322",0,0,
III-6,33-2,ES1,27/7/21,U8,13,arm,U_arm,S,,"16,019","2,375",613,,,"4,478",,,,,"2,99","4,478","258,903,041","279,543,043","20,578,806","80,551,905",0,0,
III-6,33-2,ES1,27/7/21,U9,15,arm,U_arm,S,,"16,393","3,587",342,,,"3,331",199,,,,"3,93","3,53","30,544,974","215,335,814","278,861,852","44,940,867",0,0,
III-6,33-2,ES1,27/7/21,U10,17,arm,U_arm,S,,"16,637","1,513",565,,,"3,736",,,,,"2,08","3,736","161,072,785","224,559,716","11,727,773","74,244,415",0,0,
III-6,33-2,ES1,27/7/21,U11,19,arm,U_arm,S,,"17,27","1,082","1,015",,,"4,356",,,,,"2,10","4,356","162,381,911","252,229,299","83,785,039","133,377,135",0,0,Nécrose ou périmètre dysfonctionnel ?
III-6,33-2,ES1,27/7/21,U12,21,arm,U_arm,S,,"15,442","1,343",555,"0,22",,"4,055",,,,,"2,12","4,055","186,001,581","262,595,519","117,941,512","72,930,355","2,890,933",0,
III-6,33-2,ES1,27/7/21,U13,23,arm,U_arm,S,,"11,879","1,058",656,,,"2,332",,,,,"1,71","2,332","179,532,838","196,312,821","110,820,153","86,202,365",0,0,
III-6,33-2,ES1,27/7/21,U14,26,arm,U_arm,S,,"12,826","0,97",725,,,"2,26","0,62",,,,"1,70","2,88","170,420,269","224,543,895","97,526,644","95,269,382",0,0,
III-6,33-2,ES1,27/7/21,U15,29,arm,U_arm,S,,"14,072","1,069",834,,,"2,299",,,,,"1,90","2,299","161,641,043","163,374,076","90,800,985","109,592,641",0,0,
III-6,33-2,ES1,27/7/21,U16,31,arm,U_arm,S,,"17,323","2,077","1,423",,,"2,79",279,,,,"3,50","3,069","24,554,511","177,163,309","145,713,484","186,990,802",0,0,
III-6,33-2,ES1,27/7/21,U17,33,arm,U_arm,S,,"19,276","1,033","0,71",,,"1,837","1,209",877,"4,273",,"1,74","8,196","157,310,469","425,191,949","93,231,047","93,298,292",0,0,DYS OU NECROSE
III-6,33-2,ES1,27/7/21,U18,35,arm,U_arm,S,,"18,644","1,895",766,,,"2,61",799,706,,,"2,66","4,115","18,315,094","220,714,439","130,428,798","10,065,703",0,0,
III-6,33-2,ES1,27/7/21,U19,37,arm,U_arm,S,,"17,234","1,439",,,,"3,699","2,197",,,,"1,44","5,896","126,918,328","342,114,425","126,918,328",0,0,0,
III-6,33-2,ES1,27/7/21,U20,NA,transition,transition,transition,,NA,NA,,,,NA,,,,,"0,00",0,NA,NA,NA,0,0,0,
III-6,33-2,ES1,27/7/21,U21,NA,transition,transition,transition,,NA,NA,,,,NA,,,,,"0,00",0,NA,NA,NA,0,0,0,
III-6,33-2,ES1,27/7/21,U22,42,trunk,trunk,S,,"23,13",907,,,,,,,,,"0,91",0,"39,213,143",0,"39,213,143",0,0,0,
III-6,33-2,ES1,27/7/21,U23,43,trunk,trunk,S,,"17,89",788,,,,,,,,,"0,79",0,"44,046,954",0,"44,046,954",0,0,0,
III-6,33-2,ES1,27/7/21,U24,45,trunk,trunk,S,,"17,942",884,,,,208,,,,,"0,88",208,"4,984,775","1,159,291","4,984,775",0,0,0,
III-6,33-2,ES1,27/7/21,U25,47,trunk,trunk,S,,"15,978",777,,,,"1,745",,,,,"0,78","1,745","54,591,442","109,212,667","54,591,442",0,0,0,
III-6,33-2,ES1,27/7/21,U26,49,trunk,trunk,S,,"16,994",806,,,,,,,,,"0,81",0,"47,428,504",0,"47,428,504",0,0,0,
III-6,33-2,ES1,27/7/21,U27,51,trunk,trunk,S,,"18,876",507,,,,,,,,,"0,51",0,"26,859,504",0,"26,859,504",0,0,0,
III-6,33-2,ES1,27/7/21,U28,53,trunk,trunk,S,,"16,059",501,,,,,,,,,"0,50",0,"31,197,459",0,"31,197,459",0,0,0,
III-6,33-2,ES1,27/7/21,U29,55,trunk,trunk,S,,"16,977",479,,,,,,,,,"0,48",0,"28,214,643",0,"28,214,643",0,0,0,
III-6,33-2,ES1,27/7/21,U30,57,trunk,trunk,S,,"16,733",467,56,,,,,,,,"0,52",0,"31,255,603",0,"27,908,922","7,358,739",0,0,
III-6,33-2,ES1,27/7/21,U31,59,trunk,trunk,S,,"17,348",467,,,,,,,,,"0,47",0,"2,691,953",0,"2,691,953",0,0,0,
III-6,33-2,ES1,27/7/21,U32,61,GU,GU,S,,"18,433",492,,,,441,,,,,"0,49",441,"27,345,487","23,924,483","27,345,487",0,0,0,
III-6,33-2,ES1,27/7/21,U33,63,GU,GU,S,,"21,388",369,157,,,"1,493","0,3",,,,"0,53","1,793","26,843,583","83,832,055","18,831,335","20,630,749",0,0,
III-6,33-2,ES1,27/7/21,U34,65,GU,GU,S,,"21,494",441,258,153,,"0,71",311,257,,,"0,85","1,278","42,144,836","59,458,454","21,814,404","3,390,276","20,105,125",0,
III-6,33-2,ES1,27/7/21,U35,67,rootstock,rootstock,S,,"21,817","0,24",,,,854,625,,,,"0,24","1,479","1,180,057","67,791,172","1,180,057",0,0,0,
III-6,33-2,ES1,27/7/21,U36,69,rootstock,rootstock,S,,NA,,,,,,,,,,"0,00",0,NA,NA,NA,0,0,0,
III-6,33-2,ES1,27/7/21,U37,71,rootstock,rootstock,S,,"14,343",,,,,"3,221",146,,,,"0,00","3,367",0,"234,748,658",0,0,0,0,
III-6,33-2,ES1,27/7/21,U38,73,rootstock,rootstock,S,,"14,263",,,,,"2,075",677,153,134,,"0,00","3,039",0,"213,068,779",0,0,0,0,
III-6,33-2,ES1,27/7/21,U39,,NA,NA,NA,,NA,,,,,,,,,,"0,00",0,NA,NA,NA,0,0,0,
III-6,33-2,ES1,27/7/21,U40,,NA,NA,NA,,NA,,,,,,,,,,"0,00",0,NA,NA,NA,0,0,0,
III-6,33-2,ES1,27/7/21,U41,,NA,NA,NA,,NA,,,,,,,,,,"0,00",0,NA,NA,NA,0,0,0,
III-6,33-2,ES1,27/7/21,U42,,NA,NA,NA,,NA,,,,,,,,,,"0,00",0,NA,NA,NA,0,0,0,
III-6,33-2,ES1,27/7/21,U43,71,rootstock,rootstock,S,,"13,377",,,,,"0,74",,,,,"0,00","0,74",0,"55,318,831",0,0,0,0,
III-6,33-2,ES1,27/7/21,U44,73,rootstock,rootstock,S,,"12,365",,,,,996,,,,,"0,00",996,0,"80,549,939",0,0,0,0,
III-6,32-13,AS,30/7/21,U1,NA,arm,U_arm,AS,,NA,,,,,,,,,,"0,00",0,NA,NA,NA,0,0,0,
III-6,32-13,AS,30/7/21,U2,2,arm,U_arm,AS,,"22,124",,,,,"16,222",,,,,"0,00","16,222",0,"73,323,088",0,0,0,0,
III-6,32-13,AS,30/7/21,U3,"3,5",arm,U_arm,AS,,"17,706",,,,,"13,197",,,,,"0,00","13,197",0,"745,340,563",0,0,0,0,
III-6,32-13,AS,30/7/21,U4,"4,5",transition,transition,AS,,NA,,,,,NA,,,,,"0,00",0,NA,NA,NA,0,0,0,
III-6,32-13,AS,30/7/21,U5,"5,5",transition,transition,AS,,NA,,,,,NA,,,,,"0,00",0,NA,NA,NA,0,0,0,
III-6,32-13,AS,30/7/21,U6,7,trunk,trunk,AS,,"21,451",,,,,"14,067",,,,,"0,00","14,067",0,"655,773,624",0,0,0,0,
III-6,32-13,AS,30/7/21,U7,9,trunk,trunk,AS,,"20,437",,,,,"13,116",,,,,"0,00","13,116",0,"641,777,169",0,0,0,0,
III-6,32-13,AS,30/7/21,U8,"10,5",trunk,trunk,AS,,"26,118",,,,,"18,376",,,,,"0,00","18,376",0,"703,576,078",0,0,0,0,
III-6,32-13,AS,30/7/21,U9,"12,5",trunk,trunk,AS,,"22,771",,,,,"14,94",,,,,"0,00","14,94",0,"656,097,668",0,0,0,0,
III-6,32-13,AS,30/7/21,U10,14,trunk,trunk,AS,,"21,697",,,,,"12,854",487,,,,"0,00","13,341",0,"614,877,633",0,0,0,0,
III-6,32-13,AS,30/7/21,U11,"15,5",trunk,trunk,AS,,"19,178",,,,,"10,982",,,,,"0,00","10,982",0,"572,635,311",0,0,0,0,
III-6,32-13,AS,30/7/21,U12,"17,5",trunk,trunk,AS,,"18,927",,,,,"11,036",,,,,"0,00","11,036",0,"583,082,369",0,0,0,0,
III-6,32-13,AS,30/7/21,U13,20,trunk,trunk,AS,,"19,585",,,,,"11,682",,,,,"0,00","11,682",0,"596,476,896",0,0,0,0,
III-6,32-13,AS,30/7/21,U14,22,trunk,trunk,AS,,"17,998",,,,,"10,015",,,,,"0,00","10,015",0,"556,450,717",0,0,0,0,
III-6,32-13,AS,30/7/21,U15,24,trunk,trunk,AS,,"17,472",,,,,"10,273",,,,,"0,00","10,273",0,"587,969,322",0,0,0,0,
III-6,32-13,AS,30/7/21,U16,"25,5",trunk,trunk,AS,,"17,617",,,,,"9,823",,,,,"0,00","9,823",0,"557,586,422",0,0,0,0,
III-6,32-13,AS,30/7/21,U17,"27,5",trunk,trunk,AS,,"18,275",,,,,"10,54",,,,,"0,00","10,54",0,"576,744,186",0,0,0,0,
III-6,32-13,AS,30/7/21,U18,29,trunk,trunk,AS,,"17,09",,,,,"9,63",,,,,"0,00","9,63",0,"56,348,742",0,0,0,0,
III-6,32-13,AS,30/7/21,U19,31,trunk,trunk,AS,,"16,876",,,,,"9,478",,,,,"0,00","9,478",0,"561,625,978",0,0,0,0,
III-6,32-13,AS,30/7/21,U20,33,trunk,trunk,AS,,"17,706",,,,,"10,095",,,,,"0,00","10,095",0,"570,145,713",0,0,0,0,
III-6,32-13,AS,30/7/21,U21,35,GU,GU,AS,,"20,683",,,,,"12,325",,,,,"0,00","12,325",0,"595,900,015",0,0,0,0,
III-6,32-13,AS,30/7/21,U22,37,GU,GU,AS,,"23,758",,,,,"13,763",,,,,"0,00","13,763",0,"579,299,604",0,0,0,0,
III-6,32-13,AS,30/7/21,U23,39,GU,GU,AS,,"25,371",,,,,"15,793",,,,,"0,00","15,793",0,"622,482,362",0,0,0,0,
III-6,32-13,AS,30/7/21,U24,41,GU,GU,AS,,"21,36",125,,,,"14,643",,,,,"0,13","14,643","18,609,498","685,533,708","18,609,498",0,0,0,
III-6,32-13,AS,30/7/21,U25,43,rootstock,rootstock,AS,,"16,56",,,,,"10,455",144,,,,"0,00","10,599",0,"640,036,232",0,0,0,0,
III-6,32-13,AS,30/7/21,U26,45,rootstock,rootstock,AS,,"15,005",,,,,"8,81",,,,,"0,00","8,81",0,"587,137,621",0,0,0,0,
III-6,32-13,AS,30/7/21,U27,47,rootstock,rootstock,AS,,"15,499",,,,,"8,967","0,37",,,,"0,00","9,337",0,"602,425,963",0,0,0,0,
III-6,32-13,AS,30/7/21,U28,49,rootstock,rootstock,AS,,"15,835",54,,,,"8,495",207,,,,"0,05","8,702","7,570,447","549,542,153","7,570,447",0,0,0,
III-6,32-13,AS,30/7/21,U29,51,rootstock,rootstock,AS,,"14,79",,,,,"6,948","1,087",,,,"0,00","8,035",0,"543,272,481",0,0,0,0,
III-6,32-13,AS,30/7/21,U30,53,rootstock,rootstock,AS,,"13,13",105,,,,"6,496",,,,,"0,11","6,496","15,827,555","494,744,859","15,827,555",0,0,0,
III-6,33-47,ES3,23/7/21,U1,1,arm,U_arm,S,,"19,056","2,118",,,,"4,252",,,,,"2,12","4,252","143,069,441","223,131,822","143,069,441",0,0,0,
III-6,33-47,ES3,23/7/21,U2,3,arm,U_arm,S,,"12,578","1,264",,,,"1,584",,,,,"1,26","1,584","114,971,803","125,934,171","114,971,803",0,0,0,
III-6,33-47,ES3,23/7/21,U3,5,arm,U_arm,S,,"10,409",579,,,,917,,,,,"0,58",917,"60,998,736","88,096,839","60,998,736",0,0,0,
III-6,33-47,ES3,23/7/21,U4,7,arm,U_arm,S,,"12,942",425,,,,"1,657","1,639",,,,"0,43","3,296","44,059,714","254,674,703","44,059,714",0,0,0,
III-6,33-47,ES3,23/7/21,U5,9,arm,U_arm,S,,NA,NA,NA,NA,NA,NA,NA,,,,"0,00",0,NA,NA,NA,NA,NA,NA,
III-6,33-47,ES3,23/7/21,U6,11,arm,U_arm,S,,NA,NA,NA,NA,NA,NA,NA,,,,"0,00",0,NA,NA,NA,NA,NA,NA,
III-6,33-47,ES3,23/7/21,U7,13,arm,U_arm,S,,NA,NA,NA,NA,NA,NA,NA,,,,"0,00",0,NA,NA,NA,NA,NA,NA,
III-6,33-47,ES3,23/7/21,U8,15,arm,U_arm,S,,"22,052",872,,,,"11,721",,,,,"0,87","11,721","84,406,156","531,516,416","84,406,156",0,0,0,
III-6,33-47,ES3,23/7/21,U9,18,arm,U_arm,S,,"16,791",389,,,,"7,977",,,,,"0,39","7,977","44,134,332","475,075,934","44,134,332",0,0,0,
III-6,33-47,ES3,23/7/21,U10,20,arm,U_arm,S,,"16,841",803,46,,,"6,914",,,,,"0,85","6,914","85,524,328","410,545,692","80,890,501","6,044,678",0,0,
III-6,33-47,ES3,23/7/21,U11,23,arm,U_arm,S,,"16,773",916,,,,"2,943",,,,,"0,92","2,943","66,232,827","175,460,562","66,232,827",0,0,0,
III-6,33-47,ES3,23/7/21,U12,26,arm,U_arm,S,,"19,833","1,005",,,,,,,,,"1,01",0,"50,673,121",0,"50,673,121",0,0,0,
III-6,33-47,ES3,23/7/21,U13,28,arm,U_arm,S,,"21,267","1,142",,,,"1,68","1,729",,,,"1,14","3,409","6,394,893","160,295,293","6,394,893",0,0,0,
III-6,33-47,ES3,23/7/21,U14,31,arm,U_arm,S,,"21,307","1,041",,,,"2,465","0,51",,,,"1,04","2,975","56,785,948","139,625,475","56,785,948",0,0,0,
III-6,33-47,ES3,23/7/21,U15,33,arm,U_arm,S,,"22,881",839,,,,"4,114","2,103",,,,"0,84","6,217","50,348,056","271,710,153","50,348,056",0,0,0,
III-6,33-47,ES3,23/7/21,U16,35,arm,U_arm,S,,"22,128","1,031",,,,"4,131",522,,,,"1,03","4,653","58,998,569","210,276,573","58,998,569",0,0,0,
